500
305 430,34 0,00 0,00 495,00 522,00
306 430,34 430,34 324,66 593,00 523,00
307 430,34 0,00 0,00 493,00 525,00
308 430,34 430,34 324,59 591,00 526,00
309 430,34 0,00 0,00 491,00 528,00
310 430,34 430,34 324,53 589,00 529,00
311 430,34 0,00 0,00 489,00 531,00
312 430,34 430,34 324,47 587,00 532,00
313 430,34 0,00 0,00 487,00 534,00
314 430,34 430,34 324,41 585,00 535,00
315 430,34 0,00 0,00 485,00 537,00
316 430,34 430,34 324,35 583,00 538,00
317 430,34 0,00 0,00 483,00 540,00
318 430,34 430,34 324,30 581,00 541,00
319 430,34 0,00 0,00 481,00 543,00
320 430,34 430,34 324,26 579,00 544,00
321 430,34 0,00 0,00 479,00 546,00
322 430,34 430,34 324,21 577,00 547,00
323 430,34 0,00 0,00 477,00 549,00
324 430,34 430,34 324,16 575,00 550,00
325 430,34 0,00 0,00 475,00 552,00
326 430,34 430,34 324,10 573,00 553,00
327 430,34 0,00 0,00 473,00 555,00
328 430,34 430,34 324,04 571,00 556,00
329 430,34 0,00 0,00 471,00 558,00
330 430,34 430,34 323,98 569,00 559,00
331 430,34 0,00 0,00 469,00 561,00
332 430,34 430,34 323,94 567,00 562,00
333 430,34 0,00 0,00 467,00 564,00
334 430,34 430,34 323,90 565,00 565,00
335 430,34 0,00 0,00 465,00 567,00
336 430,34 0,00 0,00 563,00 565,00
337 430,34 430,34 323,84 661,00 566,00
338 430,34 0,00 0,00 561,00 568,00
339 430,34 430,34 323,81 659,00 569,00
340 430,34 0,00 0,00 559,00 571,00
341 430,34 430,34 323,77 657,00 572,00
342 430,34 0,00 0,00 557,00 574,00
343 430,34 430,34 323,73 655,00 575,00
344 430,34 0,00 0,00 555,00 577,00
345 430,34 430,34 323,70 653,00 578,00
346 430,34 0,00 0,00 553,00 580,00
347 430,34 430,34 323,68 651,00 581,00
348 430,34 0,00 0,00 551,00 583,00
349 430,34 430,34 323,66 649,00 584,00
350 430,34 0,00 0,00 549,00 586,00
351 430,34 430,34 323,63 647,00 587,00
352 430,34 0,00 0,00 547,00 589,00
353 430,34 430,34 323,60 645,00 590,00
354 430,34 0,00 0,00 545,00 592,00
355 430,34 430,34 323,59 643,00 593,00
356 430,34 0,00 0,00 543,00 595,00
357 430,34 430,34 323,57 641,00 596,00
358 430,34 0,00 0,00 541,00 598,00
359 430,34 430,34 323,54 639,00 599,00
360 430,34 0,00 0,00 539,00 601,00
361 430,34 430,34 323,51 637,00 602,00
362 430,34 0,00 0,00 537,00 604,00
363 430,34 430,34 323,48 635,00 605,00
364 430,34 0,00 0,00 535,00 607,00
365 430,34 430,34 323,45 633,00 608,00
366 430,34 0,00 0,00 533,00 610,00
367 430,34 430,34 323,43 631,00 611,00
368 430,34 0,00 0,00 531,00 613,00
369 430,34 430,34 323,42 629,00 614,00
370 430,34 0,00 0,00 529,00 616,00
371 430,34 430,34 323,40 627,00 617,00
372 430,34 0,00 0,00 527,00 619,00
373 430,34 430,34 323,38 625,00 620,00
374 430,34 0,00 0,00 525,00 622,00
375 430,34 430,34 323,37 623,00 623,00
376 430,34 0,00 0,00 523,00 625,00
377 430,34 0,00 0,00 621,00 623,00
378 430,34 430,34 323,33 719,00 624,00
379 430,34 0,00 0,00 619,00 626,00
380 430,34 430,34 323,31 717,00 627,00
381 430,34 0,00 0,00 617,00 629,00
382 430,34 430,34 323,30 715,00 630,00
383 430,34 0,00 0,00 615,00 632,00
384 430,34 430,34 323,29 713,00 633,00
385 430,34 0,00 0,00 613,00 635,00
386 430,34 430,34 323,27 711,00 636,00
387 430,34 0,00 0,00 611,00 638,00
388 430,34 430,34 323,26 709,00 639,00
389 430,34 0,00 0,00 609,00 641,00
390 430,34 430,34 323,25 707,00 642,00
391 430,34 0,00 0,00 607,00 644,00
392 430,34 430,34 323,24 705,00 645,00
393 430,34 0,00 0,00 605,00 647,00
394 430,34 430,34 323,23 703,00 648,00
395 430,34 0,00 0,00 603,00 650,00
396 430,34 430,34 323,22 701,00 651,00
397 430,34 0,00 0,00 601,00 653,00
398 430,34 430,34 323,21 699,00 654,00
399 430,34 0,00 0,00 599,00 656,00
400 430,34 430,34 323,21 697,00 657,00
401 430,34 0,00 0,00 597,00 659,00
402 430,34 430,34 323,22 695,00 660,00
403 430,34 0,00 0,00 595,00 662,00
404 430,34 430,34 323,22 693,00 663,00
405 430,34 0,00 0,00 593,00 665,00
406 430,34 430,34 323,22 691,00 666,00
407 430,34 0,00 0,00 591,00 668,00
408 430,34 430,34 323,22 689,00 669,00
409 430,34 0,00 0,00 589,00 671,00
410 430,34 430,34 323,22 687,00 672,00
411 430,34 0,00 0,00 587,00 674,00
412 430,34 430,34 323,21 685,00 675,00
413 430,34 0,00 0,00 585,00 677,00
414 430,34 430,34 323,21 683,00 678,00
415 430,34 0,00 0,00 583,00 680,00
416 430,34 430,34 323,21 681,00 681,00
417 430,34 0,00 0,00 581,00 683,00
418 430,34 0,00 0,00 679,00 681,00
419 430,34 430,34 323,23 777,00 682,00
420 430,34 0,00 0,00 677,00 684,00
421 430,34 430,34 323,23 775,00 685,00
422 430,34 0,00 0,00 675,00 687,00
423 430,34 430,34 323,23 773,00 688,00
424 430,34 0,00 0,00 673,00 690,00
425 430,34 430,34 323,24 771,00 691,00
426 430,34 0,00 0,00 671,00 693,00
427 430,34 430,34 323,24 769,00 694,00
428 430,34 0,00 0,00 669,00 696,00
429 430,34 430,34 323,24 767,00 697,00
430 430,34 0,00 0,00 667,00 699,00
431 430,34 430,34 323,24 765,00 700,00
432 430,34 0,00 0,00 665,00 702,00
433 430,34 430,34 323,23 763,00 703,00
434 430,34 0,00 0,00 663,00 705,00
435 430,34 430,34 323,24 761,00 706,00
436 430,34 0,00 0,00 661,00 708,00
437 430,34 430,34 323,24 759,00 709,00
438 430,34 0,00 0,00 659,00 711,00
439 430,34 430,34 323,25 757,00 712,00
440 430,34 0,00 0,00 657,00 714,00
441 430,34 430,34 323,25 755,00 715,00
442 430,34 0,00 0,00 655,00 717,00
443 430,34 430,34 323,25 753,00 718,00
444 430,34 0,00 0,00 653,00 720,00
445 430,34 430,34 323,25 751,00 721,00
446 430,34 0,00 0,00 651,00 723,00
447 430,34 430,34 323,26 749,00 724,00
448 430,34 0,00 0,00 649,00 726,00
449 430,34 430,34 323,26 747,00 727,00
450 430,34 0,00 0,00 647,00 729,00
451 430,34 430,34 323,27 745,00 730,00
452 430,34 0,00 0,00 645,00 732,00
453 430,34 430,34 323,28 743,00 733,00
454 430,34 0,00 0,00 643,00 735,00
455 430,34 430,34 323,29 741,00 736,00
456 430,34 0,00 0,00 641,00 738,00
457 430,34 430,34 323,30 739,00 739,00
458 430,34 0,00 0,00 639,00 741,00
459 430,34 0,00 0,00 737,00 739,00
460 430,34 430,34 323,31 835,00 740,00
461 430,34 0,00 0,00 735,00 742,00
462 430,34 430,34 323,32 833,00 743,00
463 430,34 0,00 0,00 733,00 745,00
464 430,34 430,34 323,33 831,00 746,00
465 430,34 0,00 0,00 731,00 748,00
466 430,34 430,34 323,34 829,00 749,00
467 430,34 0,00 0,00 729,00 751,00
468 430,34 430,34 323,35 827,00 752,00
469 430,34 0,00 0,00 727,00 754,00
470 430,34 430,34 323,36 825,00 755,00
471 430,34 0,00 0,00 725,00 757,00
472 430,34 430,34 323,37 823,00 758,00
473 430,34 0,00 0,00 723,00 760,00
474 430,34 430,34 323,39 821,00 761,00
475 430,34 0,00 0,00 721,00 763,00
476 430,34 430,34 323,39 819,00 764,00
477 430,34 0,00 0,00 719,00 766,00
478 430,34 430,34 323,40 817,00 767,00
479 430,34 0,00 0,00 717,00 769,00
480 430,34 430,34 323,41 815,00 770,00
481 430,34 0,00 0,00 715,00 772,00
482 430,34 430,34 323,41 813,00 773,00
483 430,34 0,00 0,00 713,00 775,00
484 430,34 430,34 323,42 811,00 776,00
485 430,34 0,00 0,00 711,00 778,00
486 430,34 430,34 323,43 809,00 779,00
487 430,34 0,00 0,00 709,00 781,00
488 430,34 430,34 323,44 807,00 782,00
489 430,34 0,00 0,00 707,00 784,00
490 430,34 430,34 323,46 805,00 785,00
491 430,34 0,00 0,00 705,00 787,00
492 430,34 430,34 323,47 803,00 788,00
493 430,34 0,00 0,00 703,00 790,00
494 430,34 430,34 323,49 801,00 791,00
495 430,34 0,00 0,00 701,00 793,00
496 430,34 430,34 323,49 799,00 794,00
497 430,34 0,00 0,00 699,00 796,00
498 430,34 430,34 323,51 797,00 797,00
499 430,34 0,00 0,00 697,00 799,00
