500
0 42.524,09 0,00 42.524,09 0,00 0
182 51,78 -22.237,92 8,12 -3.487,12 8,5014411959507
183 67,52 -22.145,26 10,25 -3.363,01 8,5014411959507
184 0,96 -22.277,36 0,15 -3.420,45 22,8440038821723
185 0,31 -22.355,14 0,05 -3.409,34 22,8440038821723
186 0,13 -22.386,20 0,02 -3.391,89 22,8440038821723
187 0,23 -22.400,32 0,03 -3.299,51 22,8440038821723
188 0,36 -22.401,09 0,05 -3.322,75 22,8440038821723
189 1,15 -22.134,32 0,17 -3.295,74 22,7540596009767
190 1,97 -22.252,45 0,30 -3.415,34 22,6845106726257
191 0,99 -22.222,20 0,15 -3.374,85 22,9051225765464
192 0,12 -22.194,23 0,02 -3.374,40 22,9051225765464
193 3,47 -22.118,52 0,53 -3.370,73 -2,86858954868706
194 5,71 -22.065,06 0,88 -3.396,68 -2,84171382768504
195 6,01 -21.253,26 0,92 -3.271,58 -2,84171382768504
196 159,28 -21.003,94 26,07 -3.438,15 13,2862706608479
197 150,28 -20.581,89 25,00 -3.423,61 13,2862706608479
198 4,02 -22.002,84 0,69 -3.760,13 14,6435187203476
199 11,44 -21.780,79 1,76 -3.349,85 14,6435187203476
200 33,02 -21.173,03 5,14 -3.298,28 14,5370014061195
201 81,68 -21.949,44 13,30 -3.575,28 7,4018984672237
202 37,28 -22.084,03 5,72 -3.390,49 7,4018984672237
203 0,25 -22.145,31 0,04 -3.367,55 8,19430886244597
204 0,06 -22.175,29 0,01 -3.298,19 -11,0552323852138
205 0,61 -22.177,64 0,09 -3.348,10 -10,8965809198901
206 0,02 -22.172,67 0,00 -3.355,29 -10,8965809198901
207 0,00 -22.172,84 0,00 -3.357,21 -11,0377208793004
208 0,74 -22.178,65 0,11 -3.361,31 -11,8232874802345
209 1,84 -22.176,99 0,27 -3.306,38 -0,469361134729758
210 0,97 -21.933,55 0,15 -3.326,42 -2,91511209126927
211 1,80 -21.955,09 0,28 -3.399,79 -2,91511209126927
212 3,94 -21.594,67 0,61 -3.339,04 -2,91511209126927
213 109,63 -21.813,03 17,47 -3.475,64 -2,91511209126927
214 101,92 -21.471,82 15,96 -3.362,75 -2,91511209126927
215 85,11 -21.278,70 13,70 -3.424,69 -2,91511209126927
216 75,30 -21.176,82 12,30 -3.458,60 21,6951660848815
217 -2,42 -21.576,98 -0,40 -3.550,79 -11,2718839443086
218 15,63 -21.772,28 2,44 -3.403,66 -9,7971549725926
219 0,11 -21.656,55 0,02 -3.308,94 -9,7971549725926
220 33,82 -21.784,58 5,25 -3.382,17 -6,72046559745101
221 0,60 -21.937,23 0,09 -3.375,39 -6,33489375367563
222 1,07 -21.832,99 0,16 -3.322,85 -6,33489375367563
223 1,88 -21.839,66 0,29 -3.335,48 -6,33489375367563
224 2,11 -21.818,32 0,32 -3.321,32 -6,33489375367563
225 2,13 -21.868,93 0,32 -3.333,07 -6,33489375367563
226 1,97 -21.837,03 0,30 -3.302,30 -7,22900282222716
227 1,19 -21.835,81 0,18 -3.317,61 -7,22900282222716
228 1,48 -21.797,67 0,23 -3.311,95 -8,40709434738635
229 1,17 -21.813,19 0,18 -3.318,46 -6,73062372410411
230 0,18 -21.859,33 0,03 -3.322,27 -2,30513470917511
231 0,37 -21.763,98 0,06 -3.298,85 -2,49768529742007
232 1,50 -21.799,69 0,23 -3.331,90 -2,49768529742007
233 1,61 -21.816,64 0,25 -3.325,17 -2,14125023066428
234 1,37 -21.857,05 0,21 -3.328,00 -2,17073203962193
235 0,20 -21.665,73 0,03 -3.288,53 5,19598280493706
236 10,77 -21.862,91 1,66 -3.372,14 4,51453977998364
237 9,17 -21.600,89 1,39 -3.275,56 -3,13004290518203
238 8,57 -21.420,65 1,33 -3.317,85 -3,13004290518203
239 12,61 -21.222,66 1,98 -3.336,74 -3,13004290518203
240 45,61 -21.600,68 7,29 -3.451,03 -3,13004290518203
241 40,87 -21.395,91 6,33 -3.314,63 -4,13552306237814
242 60,99 -21.451,40 9,61 -3.378,95 -4,13552306237814
243 60,41 -21.255,27 9,47 -3.331,68 -4,13552306237814
244 60,74 -21.055,73 9,67 -3.352,34 -4,20207862656024
245 68,32 -21.656,83 11,05 -3.502,53 -2,66822411553817
