500
319 -0,07 33.780,67 -0,07 32.897,59 -7,2988703522146
320 -0,90 33.625,49 -0,88 32.748,36 -7,2988703522146
321 -1,09 33.667,13 -1,06 32.813,99 -7,06635779294434
322 3,14 33.651,97 3,06 32.747,01 -18,4839396695581
323 3,06 33.639,37 2,99 32.800,40 -15,4770080724651
324 -0,04 33.662,81 -0,04 32.878,14 -4,72563762852935
325 0,05 33.661,40 0,04 32.786,15 49,2142952041698
326 0,05 33.655,90 0,05 32.699,60 49,2142952041698
327 -0,41 33.666,11 -0,40 32.765,96 49,2142952041698
328 -0,76 33.676,76 -0,74 32.848,68 49,2142952041698
329 -0,44 33.673,64 -0,43 32.865,09 62,4600770537001
330 0,08 33.668,61 0,08 32.896,38 62,4600770537001
331 0,03 33.667,30 0,03 32.893,57 62,3702538636537
332 -0,43 33.670,00 -0,42 32.902,98 62,4761103253007
333 0,14 33.661,52 0,13 32.898,48 62,7122406842151
334 0,15 33.661,49 0,14 32.909,28 62,7122406842151
335 0,03 33.662,51 0,03 32.912,32 56,1684254504963
336 0,06 33.661,88 0,06 32.912,26 56,1684254504963
337 0,01 33.670,56 0,01 32.903,47 61,1956590150043
338 0,00 33.665,77 0,00 32.919,87 61,3636862173148
339 0,00 33.664,88 0,00 32.916,65 61,3636862173148
340 0,08 33.670,93 0,08 32.907,66 44,3641997202008
341 0,03 33.667,21 0,03 32.908,39 44,3641997202008
342 0,04 33.687,89 0,04 32.928,30 47,0257931976251
343 0,24 33.686,86 0,23 32.931,35 -24,4050090245325
344 0,01 33.670,57 0,01 32.912,23 -27,5857526007638
345 0,11 33.683,67 0,10 32.912,61 -27,5857526007638
346 0,00 33.677,91 0,00 32.909,85 -27,5857526007638
347 0,18 33.698,63 0,17 32.920,78 -27,5857526007638
348 0,15 33.699,23 0,15 32.927,60 -12,6790931294276
349 0,72 33.701,68 0,70 32.943,22 4,4541650939437
350 0,08 33.695,78 0,08 32.910,59 4,4541650939437
351 0,02 33.690,91 0,02 32.923,87 4,4541650939437
352 0,05 33.685,12 0,05 32.904,90 4,4541650939437
353 0,12 33.687,60 0,11 32.898,38 4,84099602761919
354 0,01 33.687,45 0,01 32.888,26 -13,3801652054683
355 0,13 33.687,14 0,13 32.884,45 -13,3801652054683
356 0,28 33.685,44 0,27 32.868,36 -13,3801652054683
357 0,13 33.686,19 0,12 32.862,20 -11,6418867095842
358 0,02 33.681,59 0,02 32.872,76 -5,42996846404556
359 0,02 33.681,37 0,02 32.860,16 -5,42996846404556
360 -0,10 33.682,96 -0,09 32.865,86 -5,42996846404556
361 0,01 33.683,19 0,00 32.879,63 -5,42996846404556
362 0,18 33.683,27 0,17 32.865,64 -5,42996846404556
363 0,06 33.680,44 0,06 32.875,78 -7,09478776471958
364 0,04 33.683,24 0,03 32.880,40 -8,74540005229052
365 -0,05 33.691,93 -0,05 32.865,74 -3,7426965795287
366 0,16 33.688,46 0,16 32.889,76 -3,7426965795287
367 0,11 33.689,33 0,11 32.871,08 -8,32449156227229
368 0,12 33.690,32 0,12 32.889,59 -8,32449156227229
369 0,02 33.691,73 0,02 32.890,41 8,55086406983884
370 0,01 33.693,06 0,01 32.893,86 8,55086406983884
371 -0,05 33.696,89 -0,05 32.897,66 8,45664526061734
372 0,02 33.698,58 0,01 32.893,06 11,0432803126405
373 0,17 33.694,97 0,16 32.900,69 9,01187614179648
