500
0 25.567,17 0,00 25.567,17 0,00 0
227 0,06 41.584,57 0,06 37.819,48 236,895640257622
228 0,14 41.593,34 0,12 37.835,95 236,895640257622
229 6,86 41.609,76 6,23 37.836,65 217,810388204941
230 11,82 41.573,50 10,76 37.851,90 217,810388204941
231 13,46 41.495,92 12,26 37.803,81 217,810388204941
232 8,81 41.498,71 8,02 37.768,40 -75,9008285517035
233 6,29 41.562,21 5,73 37.835,95 -75,9008285517035
234 3,87 41.642,13 3,53 37.967,85 -76,2086417746389
235 8,28 41.683,12 7,56 38.068,13 -16,4913306964031
236 0,40 41.685,59 0,37 38.097,74 -12,0219664643507
237 3,80 41.724,50 3,47 38.067,87 -12,0219664643507
238 2,28 41.721,29 2,08 38.064,94 -10,9590198158781
239 3,02 41.687,38 2,75 38.038,65 -10,9590198158781
240 6,16 41.880,88 5,62 38.193,56 -1,29409093365262
241 -0,02 41.759,90 -0,02 38.210,10 -1,29409093365262
242 0,33 41.755,22 0,30 38.117,83 -1,29409093365262
243 0,48 41.745,55 0,44 38.090,24 -1,29409093365262
244 -3,74 41.886,03 -3,41 38.201,24 -1,90072416597092
245 18,97 41.731,27 17,34 38.144,00 -1,90072416597092
246 4,50 41.904,65 4,10 38.186,13 -1,02155188342995
247 -0,02 41.756,73 -0,02 38.145,62 -2,24709166635104
248 0,01 41.708,47 0,01 37.960,62 -6,0540180381077
249 -0,76 41.839,65 -0,69 38.052,67 -7,25292460062524
250 -0,03 41.862,12 -0,02 38.194,36 -7,25292460062524
251 12,73 41.799,27 11,58 38.011,39 -9,69609960375228
252 8,64 41.870,48 7,84 37.993,71 -8,944810277108
253 0,21 41.832,86 0,19 38.133,32 -8,944810277108
254 0,01 41.828,83 0,01 37.800,69 -8,944810277108
255 -0,02 41.899,48 -0,02 38.119,99 -8,944810277108
256 6,38 41.933,08 5,80 38.139,29 36,387339716918
257 19,11 41.847,26 17,34 37.975,39 36,387339716918
258 0,12 41.950,62 0,11 38.009,45 35,9711330648607
259 0,58 41.935,68 0,52 37.987,30 35,9711330648607
260 3,16 42.036,44 2,85 37.829,48 35,9711330648607
261 0,64 42.260,96 0,57 37.976,95 41,6586530193447
262 1,17 42.095,27 1,06 38.421,87 35,7849617119007
263 0,37 42.041,27 0,34 38.199,43 211,311937169747
264 0,51 42.069,45 0,47 38.324,16 211,998228508339
265 1,07 42.130,10 0,97 38.203,16 211,998228508339
266 9,86 42.294,28 8,98 38.501,56 211,774017820897
267 0,19 42.190,30 0,17 38.394,07 211,774017820897
268 0,00 42.086,49 0,00 38.188,80 212,610904209223
269 0,14 42.148,30 0,13 38.130,23 212,610904209223
270 3,48 42.287,85 3,14 38.178,10 212,610904209223
271 0,25 42.579,14 0,22 38.392,16 89,7976307955231
272 28,04 42.856,45 25,37 38.767,19 91,4571397648544
273 19,42 42.446,54 17,53 38.317,65 -68,3631310766272
274 21,50 42.517,75 19,09 37.742,97 -68,3631310766272
275 0,55 42.321,68 0,49 37.337,42 -64,3454016388433
276 -6,56 42.479,64 -5,72 37.092,33 -10,018029099122
277 0,02 42.399,69 0,02 37.207,58 -8,6870677433424
278 22,11 42.339,65 19,22 36.809,99 -7,61307851675943
279 17,75 42.331,84 15,36 36.629,44 1,90502528344946
280 13,27 42.324,95 11,39 36.333,33 -4,44161174164443
281 9,64 42.309,53 8,27 36.299,46 -1,74621976648185
282 0,25 42.431,22 0,21 36.525,69 -5,77910357890075
283 6,98 42.446,12 6,02 36.601,01 -6,4659672784874
284 17,86 42.334,84 15,40 36.493,34 -3,9924803014119
285 4,63 42.487,77 3,98 36.529,25 -2,51362282093402
286 3,12 42.425,84 2,70 36.638,55 -2,51362282093402
287 0,22 42.454,06 0,20 36.902,05 -2,51362282093402
288 5,55 42.340,32 4,86 37.056,45 -3,05718042314812
289 0,17 42.433,96 0,15 37.353,79 -5,37115042060707
290 0,30 42.394,45 0,27 37.630,45 -6,40922786426409
291 5,61 42.394,33 4,98 37.618,74 7,67649486629862
292 -3,39 42.781,18 -3,01 38.056,07 7,67649486629862
293 0,08 42.583,95 0,07 38.196,66 6,41766576745952
294 0,18 42.614,37 0,16 38.132,19 2,49797286864148
295 3,32 42.696,36 2,97 38.169,06 2,49797286864148
296 3,47 42.698,91 3,11 38.206,86 22,4029230375654
297 13,20 42.699,24 11,79 38.118,72 16,2374437805755
298 0,24 42.665,66 0,22 38.387,85 16,2374437805755
299 3,29 42.675,50 2,93 38.013,00 31,4175914585898
300 7,58 42.664,20 6,84 38.459,69 31,7111604563609
301 11,05 42.599,70 9,91 38.189,13 31,3395417747741
302 8,42 42.592,04 7,55 38.161,32 12,0642109170683
303 5,85 42.584,45 5,25 38.224,83 12,0642109170683
304 2,64 42.577,64 2,34 37.796,91 12,0642109170683
305 0,07 42.573,03 0,06 38.019,49 14,5280290229168
306 0,08 42.572,98 0,07 38.070,02 14,5280290229168
307 0,08 42.572,93 0,07 38.093,75 14,5280290229168
308 -0,98 42.607,18 -0,88 38.413,28 -2,87338485675063
309 0,05 42.625,23 0,05 38.264,67 -3,38035485966131
310 0,57 42.731,26 0,51 38.508,40 -3,38035485966131
311 -0,04 42.791,70 -0,04 38.691,09 -23,4110865973292
312 0,31 42.764,98 0,28 38.557,79 -24,2164188216937
313 1,07 42.860,14 0,96 38.594,22 -24,3973921943383
314 0,19 42.839,24 0,17 38.615,03 -23,9364929375481
315 0,39 42.858,03 0,35 38.453,42 -23,7372445286928
316 0,66 42.878,17 0,60 38.665,32 -23,060779894137
317 -0,77 42.911,22 -0,69 38.565,44 -23,060779894137
318 0,49 42.953,40 0,44 38.629,18 -26,0600462412147
