500
0 10.335,85 0,00 10.335,85 0,00 0
338 0,05 62.893,14 0,05 67.998,76 34,7816736991511
339 0,43 62.872,11 0,47 67.982,16 35,0578266999799
340 0,25 62.872,85 0,27 67.929,11 35,0578266999799
341 0,10 62.897,95 0,11 67.960,16 42,3842501695006
342 0,14 62.885,01 0,15 67.975,38 42,3688625212848
343 0,11 62.880,47 0,12 67.940,02 42,4662379005146
344 0,43 62.884,42 0,46 67.933,16 42,4662379005146
345 0,24 62.901,64 0,26 67.944,68 39,1927449361996
346 0,15 62.925,31 0,16 67.980,26 39,1927449361996
347 0,10 62.942,75 0,10 67.989,25 39,1892309296262
348 1,81 62.944,77 1,96 67.992,64 39,1892309296262
349 0,95 62.967,00 1,03 68.037,17 39,1892309296262
350 0,48 62.979,49 0,52 68.001,15 49,9857911254907
351 0,55 62.975,30 0,60 68.052,68 49,9857911254907
352 0,27 62.989,28 0,30 68.038,82 70,7927192690057
353 0,01 62.988,43 0,01 68.033,21 71,0287490453574
354 0,14 62.989,45 0,15 68.008,25 71,2070193889392
355 0,20 62.989,53 0,22 68.001,98 61,7022142168026
356 0,18 62.981,77 0,19 67.961,87 90,7186723360615
357 0,12 62.987,72 0,13 67.946,68 76,3346124744162
358 0,20 62.992,87 0,22 67.988,94 75,7254855810029
359 0,02 62.988,22 0,02 67.967,85 75,7254855810029
360 0,17 62.998,68 0,18 67.973,60 75,1522296565522
361 0,21 63.000,85 0,22 68.013,39 57,5786004538702
362 0,18 62.993,00 0,20 67.977,34 -41,674419989428
363 0,13 62.993,86 0,14 67.994,84 -40,0213811847634
364 0,07 62.988,15 0,08 67.996,21 -41,5580512425874
365 0,14 62.986,30 0,15 67.936,73 -41,5580512425874
366 0,17 62.988,05 0,19 67.985,72 -41,5580512425874
367 0,14 62.986,16 0,15 67.949,12 -2,69249101118874
368 0,06 62.997,34 0,06 67.994,72 -2,81810137985989
369 0,11 62.992,38 0,12 67.999,86 -2,81810137985989
370 0,05 62.988,31 0,06 67.990,92 -2,81810137985989
371 0,01 62.988,93 0,01 67.985,63 -5,42145060221461
372 0,01 62.992,37 0,01 67.972,90 -5,39103754246012
373 0,17 63.001,75 0,18 68.006,94 -5,39103754246012
374 0,06 62.996,10 0,07 68.003,91 5,33659453080187
